name,ts,lec_seats,lab_seats,disc_seats,sem_seats,WL,min_indx,Open
EECS 411 - M-Wave Circ I,1586249413.520055,15,15,0,0,0,lab_seats,1
EECS 413 - Monolith Amplifier Circuits,1586249413.884118,38,38,0,0,0,lab_seats,1
EECS 414 - Intro to MEMS,1586249414.267036,52,0,52,0,0,disc_seats,1
EECS 417 - Electrical Biophysics,1586249414.697129,22,0,0,0,0,lec_seats,1
EECS 418 - Power Electronics,1586249415.085369,28,14,0,0,0,lab_seats,1
EECS 421 - Properties of Transistors,1586249415.4677958,23,0,23,0,0,disc_seats,1
EECS 423 - Sol State Dev Lab,1586249415.876876,3,3,0,0,0,lab_seats,1
EECS 427 - Very Large Scale Integrated Design I,1586249416.199445,35,35,0,0,0,lab_seats,1
EECS 428 - Introduction to Quantum Nanotechnology,1586249416.582827,32,0,0,0,0,lec_seats,1
EECS 434 - Princ of Photonics,1586249416.968446,20,0,20,0,0,disc_seats,1
EECS 438 - Adv Lasers Lab,1586249417.399582,5,5,0,0,0,lab_seats,1
EECS 441 - Mobile App Development for Entrepreneurs,1586249417.8234692,246,0,160,0,0,disc_seats,1
EECS 442 - Computer Vision,1586249418.2083259,137,0,137,0,0,disc_seats,1
EECS 443 - Senior ThesisL,1586249418.680487,0,0,0,0,0,null,0
EECS 445 - Introduction to Machine Learning,1586249419.139982,303,0,303,0,0,disc_seats,1
EECS 452 - Digital Signal Processing Design Laboratory,1586249419.528476,29,29,0,0,0,lab_seats,1
EECS 455 - Wireless Communication Systems,1586249419.8878741,25,0,25,0,0,disc_seats,1
EECS 458 - Biomedical Instrumentation and Design,1586249420.330863,81,81,0,0,0,lab_seats,1
EECS 460 - Control Systems Analysis and Design,1586249420.6955578,47,0,47,0,0,disc_seats,1
EECS 461 - Embedded Control Systems,1586249421.118216,96,96,0,0,0,lab_seats,1
EECS 463 - Power Systems Design and Operations,1586249421.9217129,37,0,0,0,0,lec_seats,1
EECS 467 - Autonomous Robotics Design Experience,1586249423.109377,27,27,0,0,0,lab_seats,1
EECS 470 - Computer Architecture,1586249424.163169,42,42,0,0,0,lab_seats,1
EECS 473 - Advanced Embedded Systems,1586249424.971084,42,42,0,0,0,lab_seats,1
EECS 477 - Introduction to Algorithms,1586249425.597908,77,0,77,0,0,disc_seats,1
EECS 478 - Logic Circuit Synthesis and Optimization,1586249425.977241,50,0,50,0,0,disc_seats,1
EECS 480 - Social Computing Systems,1586249426.37787,42,0,42,0,0,disc_seats,1
EECS 481 - Software Engineering,1586249426.83969,147,0,147,0,0,disc_seats,1
EECS 482 - Introduction to Operating Systems,1586249427.274986,233,233,0,0,0,lab_seats,1
EECS 483 - Compiler Construction,1586249427.651739,70,0,0,0,0,lec_seats,1
EECS 484 - Database Management Systems,1586249428.1285892,340,0,340,0,0,disc_seats,1
EECS 485 - Web Systems,1586249428.598968,494,414,0,0,0,lab_seats,1
EECS 489 - Computer Networks,1586249428.9919062,109,0,109,0,0,disc_seats,1
EECS 490 - Programming Languages,1586249429.4206002,154,0,154,0,0,disc_seats,1
EECS 492 - Introduction to Artificial Intelligence,1586249429.816638,149,0,149,0,0,disc_seats,1
EECS 493 - User Interface Development,1586249430.238592,217,0,217,0,0,disc_seats,1
EECS 494 - Computer Game Design and Development,1586249430.568875,72,0,0,0,0,lec_seats,1
EECS 495 - Software Development for Accessibility,1586249430.943487,58,0,58,0,0,disc_seats,1
EECS 496 - Major Design Experience-Professionalism,1586249431.294414,405,0,0,0,0,lec_seats,1
EECS 497 - Human-Centered Software Design and Development,1586249431.6795678,95,0,0,0,0,lec_seats,1
EECS 498 - Special Topics,1586249432.107169,476,40,60,0,0,lab_seats,1
EECS 499 - Advanced Directed Study,1586249434.126844,0,0,0,0,0,null,0
EECS 300 - Electrical Engineering Systems Design II,1586250006.26761,25,25,0,0,0,lab_seats,1
EECS 301 - Probabilistic Methods in Engineering,1586250006.668015,64,0,64,0,0,disc_seats,1
EECS 311 - Analog Circuits,1586250007.0236201,30,21,0,0,0,lab_seats,1
EECS 312 - Digital Integrated Circuits,1586250007.361015,31,0,31,0,0,disc_seats,1
"EECS 314 - Electrical Circuits, Systems and Applications",1586250007.811811,157,157,157,0,0,lab_seats,1
EECS 320 - Introduction to Semiconductor Devices,1586250008.148997,54,0,54,0,0,disc_seats,1
EECS 330 - Introduction to Antennas and Wireless Systems,1586250008.909965,29,29,0,0,0,lab_seats,1
EECS 334 - Principles of Optics,1586250009.469099,24,0,24,0,0,disc_seats,1
EECS 351 - Introduction to Digital Signal Processing,1586250010.1406279,45,0,45,0,0,disc_seats,1
EECS 367 - Introduction to Autonomous Robotics,1586250010.696128,56,56,0,0,0,lab_seats,1
EECS 370 - Introduction to Computer Organization,1586250011.2433012,622,0,617,0,0,disc_seats,1
EECS 373 - Introduction to Embedded System Design,1586250011.654297,58,58,0,0,0,lab_seats,1
EECS 376 - Foundations of Computer Science,1586250012.295713,915,0,566,0,0,disc_seats,1
EECS 388 - Introduction to Computer Security,1586250012.757899,364,364,0,0,0,lab_seats,1
EECS 399 - Directed Study,1586250015.269323,0,0,0,0,0,null,0
EECS 402 - Computer Programming for Scientists and Engineers,1586250015.6308422,26,0,26,0,0,disc_seats,1
EECS 409 - Data Science Seminar,1586250016.084705,0,0,0,0,0,null,0
EECS 411 - M-Wave Circ I,1586250016.523467,15,15,0,0,0,lab_seats,1
EECS 413 - Monolith Amplifier Circuits,1586250016.9139268,38,38,0,0,0,lab_seats,1
EECS 414 - Intro to MEMS,1586250017.328733,52,0,52,0,0,disc_seats,1
EECS 417 - Electrical Biophysics,1586250017.723799,22,0,0,0,0,lec_seats,1
EECS 418 - Power Electronics,1586250018.116194,28,14,0,0,0,lab_seats,1
EECS 421 - Properties of Transistors,1586250018.527541,23,0,23,0,0,disc_seats,1
EECS 423 - Sol State Dev Lab,1586250019.149175,3,3,0,0,0,lab_seats,1
EECS 427 - Very Large Scale Integrated Design I,1586250019.711173,35,35,0,0,0,lab_seats,1
EECS 428 - Introduction to Quantum Nanotechnology,1586250020.031005,32,0,0,0,0,lec_seats,1
EECS 434 - Princ of Photonics,1586250020.376414,20,0,20,0,0,disc_seats,1
EECS 438 - Adv Lasers Lab,1586250020.764877,5,5,0,0,0,lab_seats,1
EECS 441 - Mobile App Development for Entrepreneurs,1586250021.246994,246,0,160,0,0,disc_seats,1
EECS 442 - Computer Vision,1586250021.647582,137,0,137,0,0,disc_seats,1
EECS 443 - Senior ThesisL,1586250022.086737,0,0,0,0,0,null,0
EECS 445 - Introduction to Machine Learning,1586250023.1107252,303,0,303,0,0,disc_seats,1
EECS 452 - Digital Signal Processing Design Laboratory,1586250024.082015,29,29,0,0,0,lab_seats,1
EECS 455 - Wireless Communication Systems,1586250025.091011,25,0,25,0,0,disc_seats,1
EECS 458 - Biomedical Instrumentation and Design,1586250025.947437,81,81,0,0,0,lab_seats,1
EECS 460 - Control Systems Analysis and Design,1586250026.3972511,47,0,47,0,0,disc_seats,1
EECS 461 - Embedded Control Systems,1586250026.890929,96,96,0,0,0,lab_seats,1
EECS 463 - Power Systems Design and Operations,1586250027.223588,37,0,0,0,0,lec_seats,1
EECS 467 - Autonomous Robotics Design Experience,1586250027.5673,27,27,0,0,0,lab_seats,1
EECS 470 - Computer Architecture,1586250027.966311,42,42,0,0,0,lab_seats,1
EECS 473 - Advanced Embedded Systems,1586250028.330146,42,42,0,0,0,lab_seats,1
EECS 477 - Introduction to Algorithms,1586250028.7416918,77,0,77,0,0,disc_seats,1
EECS 478 - Logic Circuit Synthesis and Optimization,1586250029.108983,50,0,50,0,0,disc_seats,1
EECS 480 - Social Computing Systems,1586250029.470478,42,0,42,0,0,disc_seats,1
EECS 481 - Software Engineering,1586250029.851074,147,0,147,0,0,disc_seats,1
EECS 482 - Introduction to Operating Systems,1586250030.238152,233,233,0,0,0,lab_seats,1
EECS 483 - Compiler Construction,1586250030.611681,70,0,0,0,0,lec_seats,1
EECS 484 - Database Management Systems,1586250031.096443,340,0,340,0,0,disc_seats,1
EECS 485 - Web Systems,1586250031.575822,494,414,0,0,0,lab_seats,1
EECS 489 - Computer Networks,1586250031.9547808,109,0,109,0,0,disc_seats,1
